id,longitude,latitude,start_date,end_date,label
1,-57.3798887731344,-16.2370487604604,2017-08-29,2018-08-29,Pasture
2,-57.3349730089285,-16.2370487604604,2017-08-29,2018-08-29,Pasture
3,-56.7959838384567,-16.2370487604604,2017-08-29,2018-08-29,Pasture
4,-56.7061523100448,-16.2370487604604,2017-08-29,2018-08-29,Pasture
5,-55.3137636196595,-16.2370487604604,2017-08-29,2018-08-29,Pasture
6,-54.9993532702177,-16.2370487604604,2017-08-29,2018-08-29,Pasture
7,-54.8646059775998,-16.2370487604604,2017-08-29,2018-08-29,Pasture
8,-54.8196902133938,-16.2370487604604,2017-08-29,2018-08-29,Pasture
9,-54.6849429207759,-16.2370487604604,2017-08-29,2018-08-29,Pasture
10,-54.5501956281579,-16.2370487604604,2017-08-29,2018-08-29,Pasture
11,-54.505279863952,-16.2370487604604,2017-08-29,2018-08-29,Pasture
12,-54.460364099746,-16.2370487604604,2017-08-29,2018-08-29,Pasture
13,-54.41544833554,-16.2370487604604,2017-08-29,2018-08-29,Pasture
14,-54.3256168071281,-16.2370487604604,2017-08-29,2018-08-29,Pasture
15,-53.9662906934803,-16.2370487604604,2017-08-29,2018-08-29,Pasture
16,-53.7417118724504,-16.2370487604604,2017-08-29,2018-08-29,Pasture
17,-53.6069645798324,-16.2370487604604,2017-08-29,2018-08-29,Pasture
18,-53.0230596451548,-16.2370487604604,2017-08-29,2018-08-29,Pasture
19,-52.8433965883308,-16.2370487604604,2017-08-29,2018-08-29,Pasture
20,-52.7984808241249,-16.2370487604604,2017-08-29,2018-08-29,Pasture
21,-52.6637335315069,-16.2370487604604,2017-08-29,2018-08-29,Pasture
22,-52.573902003095,-16.2370487604604,2017-08-29,2018-08-29,Pasture
23,-52.528986238889,-16.2370487604604,2017-08-29,2018-08-29,Pasture
24,-52.484070474683,-16.2370487604604,2017-08-29,2018-08-29,Pasture
25,-51.9899970684173,-16.2370487604604,2017-08-29,2018-08-29,Pasture
26,-51.9001655400054,-16.2370487604604,2017-08-29,2018-08-29,Pasture
27,-51.8103340115934,-16.2370487604604,2017-08-29,2018-08-29,Pasture
28,-51.7654182473874,-16.2370487604604,2017-08-29,2018-08-29,Pasture
29,-51.7205024831815,-16.2370487604604,2017-08-29,2018-08-29,Pasture
30,-51.6306709547695,-16.2370487604604,2017-08-29,2018-08-29,Pasture
31,-51.5857551905635,-16.2370487604604,2017-08-29,2018-08-29,Pasture
32,-51.5408394263575,-16.2370487604604,2017-08-29,2018-08-29,Pasture
33,-51.4510078979456,-16.2370487604604,2017-08-29,2018-08-29,Pasture
34,-51.4060921337396,-16.2370487604604,2017-08-29,2018-08-29,Pasture
35,-51.3611763695336,-16.2370487604604,2017-08-29,2018-08-29,Pasture
36,-51.1815133127097,-16.2370487604604,2017-08-29,2018-08-29,Pasture
37,-49.4297985086767,-16.2819645246663,2017-08-29,2018-08-29,Pasture
38,-49.3399669802647,-16.2819645246663,2017-08-29,2018-08-29,Pasture
39,-49.2950512160587,-16.2819645246663,2017-08-29,2018-08-29,Pasture
40,-49.2501354518528,-16.2819645246663,2017-08-29,2018-08-29,Pasture
41,-49.2052196876468,-16.2819645246663,2017-08-29,2018-08-29,Pasture
42,-49.1153881592348,-16.2819645246663,2017-08-29,2018-08-29,Pasture
43,-49.0704723950289,-16.2819645246663,2017-08-29,2018-08-29,Pasture
44,-48.890809338205,-16.2819645246663,2017-08-29,2018-08-29,Pasture
45,-48.800977809793,-16.2819645246663,2017-08-29,2018-08-29,Pasture
